"Brick Class 1","Brick Class 2","Brick Class 3","Brick Class 4","Brick Class 5","VBIS Tag","New To Brick?","Suggested Parent Class",,"Other VBIS Asset Types #1","Other VBIS Asset Types #2","Other VBIS Asset Types #3","Comment"
,,"Building Water Meter",,,"HY-Me-Au",,,,"BMC-Me-Wa*","	BMC-FM*",,"This is Hydraulics Metering. For Controls metering and interfaces to metering, VBIS defines BMC-Me-Wa* for Building Management and Controls Metering, BMC-FM* for Building Management and Controls Flow Metering."
,"Electrical Meter",,,,"EP-Me-Au",,,,"BMC-Me-El*",,,"This is Electrical Metering. For Controls metering and interfaces to metering, VBIS defines BMC-Me-El* for Building Management and Controls Metering."
,,"Building Electrical Meter",,,"EP-Me-Au",,,,"BMC-Me-El*",,,"This is Electrical Metering. For Controls metering and interfaces to metering, VBIS defines BMC-Me-El* for Building Management and Controls Metering."
,"Gas Meter",,,,"HY-GS-Me",,,,"BMC-Me-Ga*","	BMC-FM*",,"This is Hydraulics (Gas) Metering. For Controls metering and interfaces to metering, VBIS defines BMC-Me-Ga* for Building Management and Controls Metering, BMC-FM* for Building Management and Controls Flow Metering"
,,"Building Gas Meter",,,"HY-GS-Me",,,,"BMC-Me-Ga*","	BMC-FM*",,"This is Hydraulics (Gas) Metering. For Controls metering and interfaces to metering, VBIS defines BMC-Me-Ga* for Building Management and Controls Metering, BMC-FM* for Building Management and Controls Flow Metering"
,"Water Meter",,,,"HY-Me-Au",,,,"BMC-Me-Wa*","	BMC-FM*",,"This is Hydraulics Metering. For Controls metering and interfaces to metering, VBIS defines BMC-Me-Wa* for Building Management and Controls Metering, BMC-FM* for Building Management and Controls Flow Metering."
,,"Building Water Meter",,,"HY-Me-Au",,,,"BMC-Me-Wa*","	BMC-FM*",,"This is Hydraulics Metering. For Controls metering and interfaces to metering, VBIS defines BMC-Me-Wa* for Building Management and Controls Metering, BMC-FM* for Building Management and Controls Flow Metering."
,,"Chilled Water Meter",,,"HY-Me-Au",,,,"BMC-Me-Wa*","	BMC-FM*","BMC-Me-En*","This is Hydraulics Metering. For Controls metering and interfaces to metering, VBIS defines BMC-Me-Wa* for Building Management and Controls Metering, BMC-FM* for Building Management and Controls Flow Metering and BMC-Me-En* for Energy Metering (for water systems)"
,,,"Building Chilled Water Meter",,"HY-Me-Au",,,,"BMC-Me-Wa*","	BMC-FM*","BMC-Me-En*","This is Hydraulics Metering. For Controls metering and interfaces to metering, VBIS defines BMC-Me-Wa* for Building Management and Controls Metering, BMC-FM* for Building Management and Controls Flow Metering and BMC-Me-En* for Energy Metering (for water systems)"
,,"Hot Water Meter",,,"HY-Me-Au",,,,"BMC-Me-Wa*","	BMC-FM*","BMC-Me-En*","This is Hydraulics Metering. For Controls metering and interfaces to metering, VBIS defines BMC-Me-Wa* for Building Management and Controls Metering, BMC-FM* for Building Management and Controls Flow Metering and BMC-Me-En* for Energy Metering (for water systems)"
,,,"Building Hot Water Meter",,"HY-Me-Au",,,,"BMC-Me-Wa*","	BMC-FM*","BMC-Me-En*","This is Hydraulics Metering. For Controls metering and interfaces to metering, VBIS defines BMC-Me-Wa* for Building Management and Controls Metering, BMC-FM* for Building Management and Controls Flow Metering and BMC-Me-En* for Energy Metering (for water systems)"
"Safety Equipment",,,,,"SA*",,,,,,,"This is an entire discipline in VBIS"
,"AED",,,,"FFE-Sa-De",,,,,,,
,"Automated External Defibrillator",,,,"FFE-Sa-De",,,,,,,
,"Emergency Wash Station",,,,"HY-Sa-EEWS*",,,,"FFE-Sa-EEWS*","HY-Sa-ES*",,
,,"Drench Hose",,,"HY-Sa*",,,,,,,"Drench Hose is not currently in VBIS however should this be added at a later date, it will be a subtype of Hydraulic-Safety as a drench hose will be a permanent safety system"
,,"Eye Wash Station",,,"HY-Sa-EEWS*",,,,"FFE-Sa-EEWS*",,,"Hy-Sa-EEWS is for fixed eye wash stations while FFE-Sa-EEWS is for portable/non permanent eye wash stations"
,,"Safety Shower",,,"HY-Sa-ES*",,,,,,,
,"First Aid Kit",,,,"FFE-Sa-FAK",,,,,,,
"Security Equipment",,,,,"SE*",,,,,,,"This is an entire discipline in VBIS"
,"Access Control Equipment",,,,"SE-ACon*",,,,,,,
,,"Access Reader",,,"SE-ACon-CR*",,,,,,,
,"Intercom Equipment",,,,"SE-In*",,,,,,,
,,"Emergency Phone",,,"SE-In-HP*",,,,,,,
,,"Video Intercom",,,"SE-In-CS-AV",,,,,,,
,"Intrusion Detection Equipment",,,,"SE-ID*",,,,,,,
,"Video Surveillance Equipment",,,,"SE-CCTV*",,,,,,,
,,"NVR",,,"SE-CCTV-Re-NVR",,,,,,,
,,"Network Video Recorder",,,"SE-CCTV-Re-NVR",,,,,,,
,,"Surveillance Camera",,,"SE-CCTV-Ca*",,,,,,,
"Solar Panel",,,,,"EP-SPS-Pa*",,,,,,,
"Steam Distribution",,,,,"ME-Bo-St",,,,,,,"Mechanical - Boiler - Steam"
,,,,,"ME-CL-St",,,,,,,"Mechanical - Calorifier - Steam"
,,,,,"ME-CHR-Ab-St",,,,,,,"Mechanical - Chiller - Absorption - Steam"
,,,,,"ME-CHR-ADS-St",,,,,,,"Mechanical - Chiller - Adsorption - Steam"
,,,,,"ME-HE-STF",,,,,,,"Mechanical - Heat Exchanger - Steam to Fluid"
,,,,,"ME-HE-STF-Pl",,,,,,,"Mechanical - Heat Exchanger - Steam to Fluid - Plate"
,,,,,"E-HE-STF-SAT",,,,,,,"Mechanical - Heat Exchanger - Steam to Fluid - Tube and Shell"
,,,,,"ME-Hu-St",,,,,,,"Mechanical - Humidifier - Steam"
,,,,,"ME-SCT",,,,,,,"Mechanical - Steam Condensate Trap"
,,,,,"MG-St",,,,,,,"Medical Gases - Steam"
,,,,,"MG-St-Va",,,,,,,"Medical Gases - Steam - Valves"
,,,,,"MG-St-SG",,,,,,,"Medical Gases - Steam - Sight Glass"
"Water Distribution",,,,,"HY*",,,,,,,"This is an entire discipline in VBIS"
"Weather Station",,,,,"BMC-WS*",,,,,,,
