@id,brick:inMode,brick:ofSystem/Equipment/Process,brick:hasSubstance,brick:isDifferential,brick:hasQuantity/Enumeration,rdfs:subClassOf,todo:,skos:definition
brick:Air_Temperature_Integral_Time_Parameter,,,brick:Air,,quantitykind:Temperature,brick:Integral_Time_Parameter,,
brick:Air_Temperature_Sensor,,,brick:Air,,quantitykind:Temperature,brick:Sensor,,Measures the temperature of air
brick:Air_Temperature_Setpoint,,,brick:Air,,quantitykind:Temperature,brick:Setpoint,,Sets temperature of air
brick:Air_Temperature_Setpoint_Limit,,,brick:Air,,quantitykind:Temperature,brick:Setpoint_Limit,,A parameter that places a lower or upper bound on the range of permitted values of a Air_Temperature_Setpoint.
brick:Air_Temperature_Step_Parameter,,,brick:Air,,quantitykind:Temperature,brick:Step_Parameter,,
brick:Air_Velocity_Pressure_Sensor,,,brick:Air,,quantitykind:DynamicPressure,brick:Sensor,,Measures the difference between total air pressure and static air pressure.
brick:Air_Wet_Bulb_Temperature_Sensor,,,brick:Air,,quantitykind:WetBulbTemperature,brick:Sensor,,
brick:Alarm,,,,,,brick:Alarm,,Alarm points are signals (either audible or visual) that alert an operator to an off-normal condition which requires some form of corrective action
brick:Alarm_Delay_Parameter,,,,,,brick:Alarm_Delay_Parameter,,A parameter determining how long to delay an alarm after sufficient conditions have been met
brick:Alarm_Sensitivity_Parameter,,,,,,brick:Alarm_Sensitivity_Parameter,,A parameter indicates the sensitivity to activate an alarm.
brick:Ammonia_Sensor,,,brick:NH3,,,brick:Sensor,,Measures the concentration of ammonia in air
brick:Angle_Sensor,,,,,quantitykind:Angle,brick:Sensor,,Measues the planar angle of some phenomenon
brick:Automatic_Mode_Command,,,,,brick:EnumerationKind-Automatic_Mode,brick:Command,,"Controls whether or not a device or controller is operating in ""Automatic"" mode"
brick:Availability_Status,,,,,brick:EnumerationKind-Availability,brick:Status,,"Indicates if a piece of equipment, system, or functionality is available for operation"
brick:Average_Cooling_Demand_Sensor,,brick:Cooling,,,,brick:Average_Demand_Sensor,,Measures the average power consumed by a cooling process as the amount of power consumed over some interval
brick:Average_Discharge_Air_Flow_Sensor,,,brick:Discharge_Air,,quantitykind:VolumeFlowRate,brick:Average_Sensor,,The computed average flow of discharge air over some interval
brick:Average_Exhaust_Air_Static_Pressure_Sensor,,,brick:Exhaust_Air,,quantitykind:StaticPressure,brick:Average_Sensor,,The computed average static pressure of air in exhaust regions of an HVAC system over some period of time
brick:Average_Heating_Demand_Sensor,,brick:Heating,,,,brick:Average_Demand_Sensor,,Measures the average power consumed by a heating process as the amount of power consumed over some interval
brick:Average_Supply_Air_Flow_Sensor,,,brick:Supply_Air,,quantitykind:VolumeFlowRate,brick:Average_Sensor,,The computed average flow of supply air over some interval
brick:Average_Zone_Air_Temperature_Sensor,,,brick:Zone_Air,,quantitykind:Temperature,brick:Average_Sensor,,"The computed average temperature of air in a zone, over some period of time"
brick:Battery_Voltage_Sensor,,brick:Battery,,,quantitykind:Voltage,brick:Sensor,,Measures the capacity of a battery
brick:Boiler_Command,,brick:Boiler,,,,brick:Command,,A command to control a boiler
brick:Box_Mode_Command,,,,,,,(deprecated),
brick:Building_Air_Humidity_Setpoint,,,brick:Building_Air,,quantitykind:RelativeHumidity,brick:Setpoint,,Setpoint for humidity in a building
brick:Building_Air_Static_Pressure_Sensor,,,brick:Building_Air,,quantitykind:StaticPressure,brick:Sensor,,The static pressure of air within a building
brick:Building_Air_Static_Pressure_Setpoint,,,brick:Building_Air,,quantitykind:StaticPressure,brick:Setpoint,,Sets static pressure of the entire building
brick:Bypass_Air_Flow_Sensor,,,brick:Bypass_Air,,quantitykind:VolumeFlowRate,brick:Sensor,,Measures the rate of flow of bypass air
brick:Bypass_Air_Humidity_Setpoint,,,brick:Bypass_Air,,quantitykind:RelativeHumidity,brick:Setpoint,,Humidity setpoint for bypass air
brick:Bypass_Command,,,,,,,(deprecated),
brick:Bypass_Water_Flow_Sensor,,,brick:Bypass_Water,,quantitykind:VolumeFlowRate,brick:Sensor,,Measures the rate of flow of bypass water
brick:Bypass_Water_Flow_Setpoint,,,brick:Bypass_Water,,quantitykind:VolumeFlowRate,brick:Setpoint,,Sets the target flow rate of bypass water
brick:Capacity_Sensor,,,,,quantitykind:Capacity,brick:Sensor,,
brick:Change_Filter_Alarm,,,,,,brick:Change_Filter_Alarm,,An alarm that indicates that a filter must be changed
brick:Chilled_Water_Differential_Pressure_Deadband_Setpoint,,,brick:Chilled_Water,brick:Differential,quantitykind:Pressure,brick:Deadband_Setpoint,,Sets the size of a deadband of differential pressure of chilled water
brick:Chilled_Water_Differential_Pressure_Integral_Time_Parameter,,,brick:Chilled_Water,brick:Differential,quantitykind:Pressure,brick:Integral_Time_Parameter,,
brick:Chilled_Water_Differential_Pressure_Load_Shed_Reset_Status,,brick:Load_Shed,brick:Chilled_Water,brick:Differential,quantitykind:Pressure,brick:Reset_Status,,
brick:Chilled_Water_Differential_Pressure_Load_Shed_Setpoint,,brick:Load_Shed,brick:Chilled_Water,brick:Differential,quantitykind:Pressure,brick:Setpoint,,
brick:Chilled_Water_Differential_Pressure_Load_Shed_Status,,brick:Load_Shed,brick:Chilled_Water,brick:Differential,quantitykind:Pressure,brick:Status,,
brick:Chilled_Water_Differential_Pressure_Proportional_Band_Parameter,,,brick:Chilled_Water,brick:Differential,quantitykind:Pressure,brick:Proportional_Band_Parameter,,
brick:Chilled_Water_Differential_Pressure_Sensor,,,brick:Chilled_Water,brick:Differential,quantitykind:Pressure,brick:Sensor,,Measures the difference in water pressure on either side of a chilled water valve
brick:Chilled_Water_Differential_Pressure_Setpoint,,,brick:Chilled_Water,brick:Differential,quantitykind:Pressure,brick:Setpoint,,Sets the target water differential pressure between an upstream and downstream point in a water pipe or conduit used to carry chilled water
brick:Chilled_Water_Differential_Pressure_Step_Parameter,,,brick:Chilled_Water,brick:Differential,quantitykind:Pressure,brick:Step_Parameter,,
brick:Chilled_Water_Differential_Temperature_Sensor,,,brick:Chilled_Water,brick:Differential,quantitykind:Temperature,brick:Sensor,,Measures the difference in temperature between the entering water to the chiller or other water cooling device and leaving water from the same chiller or other water cooling device
brick:Chilled_Water_Flow_Sensor,,,brick:Chilled_Water,,quantitykind:VolumeFlowRate,brick:Sensor,,Measures the rate of flow in a chilled water circuit
brick:Chilled_Water_Flow_Setpoint,,,brick:Chilled_Water,,quantitykind:VolumeFlowRate,brick:Setpoint,,Sets the target flow rate of chilled water
brick:Chilled_Water_Gauge_Pressure_Sensor,,,brick:Chilled_Water,,quantitykind:GaugePressure,brick:Sensor,,Sensor measuring the gauge pressure (zero-referenced against ambient air pressure) of chilled water
brick:Chilled_Water_Static_Pressure_Setpoint,,,brick:Chilled_Water,,quantitykind:StaticPressure,brick:Setpoint,,Sets static pressure of chilled water
brick:Chilled_Water_System_Enable_Command,,brick:Chilled_Water_System,,,,brick:Enable_Command,,Enables operation of the chilled water system
brick:Chilled_Water_Temperature_Sensor,,,brick:Chilled_Water,,quantitykind:Temperature,brick:Sensor,,Measures the temperature of chilled water
brick:Chilled_Water_Temperature_Setpoint,,,brick:Chilled_Water,,quantitykind:Temperature,brick:Setpoint,,Sets the temperature of chilled water
brick:Close_Limit,,,,,,,(deprecated),A parameter that places a lower or upper bound on the range of permitted values of a Close_Setpoint.
brick:CO_Differential_Sensor,,,brick:CO,brick:Differential,,brick:Sensor,,
brick:CO_Level_Sensor,,,brick:CO,,,brick:Sensor,Level,Measures the concentration of CO
brick:CO_Sensor,,,brick:CO,,,brick:Sensor,,Measures properties of CO
brick:CO2_Alarm,,,brick:CO2,,,brick:Alarm,,An alarm that indicates the off-normal conditions associated with the presence of carbon dioxide.
brick:CO2_Alarm_Sensitivity_Parameter,,,brick:CO2,,,brick:Alarm_Sensitivity_Parameter,,A parameter indicates the sensitivity to activate a CO2 alarm.
brick:CO2_Differential_Sensor,,,brick:CO2,brick:Differential,,brick:Sensor,,Measures the difference between CO2 levels of inside and outside air
brick:CO2_Level_Sensor,,,brick:CO2,,,brick:Sensor,Level,Measures the concentration of CO2 in air
brick:CO2_Sensor,,,brick:CO2,,,brick:Sensor,,Measures properties of CO2 in air
brick:CO2_Setpoint,,,brick:CO2,,,brick:Setpoint,,Sets some property of CO2
brick:Coldest_Zone_Air_Temperature_Sensor,,,,,,,(deprecated),The zone temperature that is coldest; drives the supply temperature of hot air. A computed value rather than a physical sensor. Also referred to as a 'Lowest Zone Air Temperature Sensor'
brick:Collection_Basin_Water_Level_Alarm,,,brick:Collection_Basin_Water,,,brick:Alarm,Level,"An alarm that indicates a high or low level of water in the collection basin, e.g. within a Cooling_Tower"
brick:Collection_Basin_Water_Level_Sensor,,,brick:Collection_Basin_Water,,,brick:Sensor,Level,"Measures the level of the water in the collection basin, e.g. within a Cooling_Tower"
brick:Collection_Basin_Water_Temperature_Sensor,,,brick:Collection_Basin_Water,,quantitykind:Temperature,brick:Sensor,,"Measures the temperature of the water in the collection basin, e.g. within a Cooling_Tower"
brick:Command,,,,,,brick:Command,,A Command is an output point that directly determines the behavior of equipment and/or affects relevant operational points.
brick:Communication_Loss_Alarm,,,,,brick:EnumerationKind-CommunicationState,brick:Loss_Alarm,,An alarm that indicates a loss of communication e.g. with a device or controller
brick:Condensate_Leak_Alarm,,,brick:Condensate,,,brick:Leak_Alarm,,An alarm that indicates a leak of condensate from a cooling system
brick:Condenser_Water_Flow_Sensor,,,brick:Condenser_Water,,quantitykind:VolumeFlowRate,brick:Sensor,,Measures the flow of the condenser water
brick:Condenser_Water_Flow_Setpoint,,,brick:Condenser_Water,,quantitykind:VolumeFlowRate,brick:Setpoint,,
brick:Condenser_Water_Temperature_Sensor,,,brick:Condenser_Water,,quantitykind:Temperature,brick:Sensor,,Measures the temperature of condenser water
brick:Conductivity_Sensor,,,,,quantitykind:Conductivity,brick:Sensor,,Measures electrical conductance
brick:Contact_Sensor,,,,,,,(deprecated),"Senses or detects contact, such as for determining if a door is closed."
brick:Cooling_Command,,brick:Cooling,,,,brick:Command,,Controls the amount of cooling to be delivered (typically as a proportion of total cooling output)
brick:Cooling_Demand_Sensor,,brick:Cooling,,,,brick:Demand_Sensor,,Measures the amount of power consumed by a cooling process; typically found by multiplying the tonnage of a unit (e.g. RTU) by the efficiency rating in kW/ton
brick:Cooling_Demand_Setpoint,,brick:Cooling,,,,brick:Demand_Setpoint,,Sets the rate required for cooling
brick:Cooling_Discharge_Air_Flow_Setpoint,,brick:Cooling,brick:Discharge_Air,,quantitykind:VolumeFlowRate,brick:Setpoint,,Sets discharge air flow for cooling
brick:Cooling_Discharge_Air_Temperature_Deadband_Setpoint,,brick:Cooling,brick:Discharge_Air,,quantitykind:Temperature,brick:Deadband_Setpoint,,Sets the size of a deadband of temperature of cooling discharge air
brick:Cooling_Discharge_Air_Temperature_Integral_Time_Parameter,,brick:Cooling,brick:Discharge_Air,,quantitykind:Temperature,brick:Integral_Time_Parameter,,
brick:Cooling_Discharge_Air_Temperature_Proportional_Band_Parameter,,brick:Cooling,brick:Discharge_Air,,quantitykind:Temperature,brick:Proportional_Band_Parameter,,
brick:Cooling_Enable_Command,,brick:Cooling,,,,brick:Enable_Command,,"Command that enables cooling functionality in equipment but certain condition(s) must be met first before actively cooling. For the actively cooling control, see Cooling_Command."
brick:Cooling_Mode_Status,,brick:Cooling,,,brick:EnumerationKind-Mode,brick:Status,,"Indicates whether a system, device or control loop is in a cooling mode"
brick:Cooling_Start_Stop_Status,,brick:Cooling,,,brick:EnumerationKind-Start_Stop,brick:Status,,
brick:Cooling_Supply_Air_Flow_Setpoint,,brick:Cooling,brick:Supply_Air,,quantitykind:VolumeFlowRate,brick:Setpoint,,Sets supply air flow rate for cooling
brick:Cooling_Supply_Air_Temperature_Deadband_Setpoint,,brick:Cooling,brick:Supply_Air,,quantitykind:Temperature,brick:Deadband_Setpoint,,Sets the size of a deadband of temperature of supply air for cooling
brick:Cooling_Supply_Air_Temperature_Integral_Time_Parameter,,brick:Cooling,brick:Supply_Air,,quantitykind:Temperature,brick:Integral_Time_Parameter,,
brick:Cooling_Supply_Air_Temperature_Proportional_Band_Parameter,,brick:Cooling,brick:Supply_Air,,quantitykind:Temperature,brick:Proportional_Band_Parameter,,
brick:Cooling_Temperature_Setpoint,,brick:Cooling,,,quantitykind:Temperature,brick:Setpoint,,Sets temperature for cooling
brick:Cooling_Zone_Air_Temperature_Setpoint,,brick:Cooling,brick:Zone_Air,,quantitykind:Temperature,brick:Setpoint,,The cooling setpoint for a specific zone in a building.
brick:Core_Temperature_Sensor,,,,,quantitykind:Temperature,brick:Sensor,Core,Measures the internal temperature of the radiant layer at the heat source or sink level of the radiant heating and cooling HVAC system.
brick:Core_Temperature_Setpoint,,,,,quantitykind:Temperature,brick:Setpoint,Core,"Sets temperature for the core, i.e. the temperature at the heat source or sink level, of the radiant panel."
brick:Current_Imbalance_Sensor,,,,,quantitykind:ElectricCurrent,brick:Sensor,Imbalance,A sensor which measures the current difference (imbalance) between phases of an electrical system
brick:Current_Limit,,,,,quantitykind:ElectricCurrent,brick:Limit,,A parameter that places a lower or upper bound on the range of permitted values of a Current_Setpoint.
brick:Current_Output_Sensor,,,,,,,(deprecated),Senses the amperes of electrical current produced as output by a device
brick:Current_Ratio_Setpoint,,,,,,,(deprecated),Sets the ratio of currents in a transformer
brick:Current_Sensor,,,,,quantitykind:ElectricCurrent,brick:Sensor,,Senses the amperes of electrical current passing through the sensor
brick:Curtailment_Override_Command,,,,,,,(deprecated),
brick:Cycle_Alarm,,,,,,,(deprecated),An alarm that indicates off-normal conditions associated with HVAC cycles
brick:Damper_Command,,brick:Damper,,,,brick:Command,,Controls properties of dampers
brick:Damper_Position_Command,,brick:Damper,,,,brick:Command,Position,Controls the position (the degree of openness) of a damper
brick:Damper_Position_Sensor,,brick:Damper,,,,brick:Sensor,Position,Measures the current position of a damper in terms of the percent of fully open
brick:Damper_Position_Setpoint,,brick:Damper,,,,brick:Setpoint,Position,Sets the position of damper
brick:Damper_Position_Status,,brick:Damper,,,,brick:Status,Position,
brick:DC_Bus_Voltage_Sensor,,,,,,,(deprecated),Measures the voltage across a DC bus
brick:Deadband_Setpoint,,,,,,brick:Deadband_Setpoint,,Sets the size of a deadband
brick:Deceleration_Time_Setpoint,,brick:Deceleration,,,quantitykind:Time,brick:Setpoint,,
brick:Dehumidification_Start_Stop_Status,,brick:Dehumidification,,,brick:EnumerationKind-Start_Stop,brick:Status,,
brick:Dehumidify_Command,,brick:Dehumidification,,,,brick:Enable_Command,,"Triggers the dehumidification process, actively removing moisture from the air to achieve desired humidity levels"
brick:Deionised_Water_Conductivity_Sensor,,,brick:Deionized_Water,,quantitykind:Conductivity,brick:Sensor,,Measures the electrical conductance of deionized water
brick:Deionised_Water_Level_Sensor,,,brick:Deionized_Water,,,brick:Sensor,Level,Measures the height/level of deionized water in some container
brick:Deionized_Water_Alarm,,,brick:Deionized_Water,,,brick:Alarm,,An alarm that indicates deionized water leaks.
brick:Delay_Parameter,,,,,,brick:Delay_Parameter,,A parameter determining how long to delay a subsequent action to take place after a received signal
brick:Demand_Sensor,,,,,,brick:Demand_Sensor,,Measures the amount of power consumed by the use of some process; typically found by multiplying the tonnage of a unit (e.g. RTU) by the efficiency rating in kW/ton
brick:Demand_Setpoint,,,,,,brick:Demand_Setpoint,,Sets the rate required for a process
brick:Derivative_Gain_Parameter,,,,,,brick:Derivative_Gain_Parameter,,
brick:Derivative_Time_Parameter,,,,,,brick:Derivative_Time_Parameter,,
brick:Dewpoint_Sensor,,,,,quantitykind:DewPointTemperature,brick:Sensor,,Senses the dewpoint temperature . Dew point is the temperature to which air must be cooled to become saturated with water vapor
brick:Dewpoint_Setpoint,,,,,quantitykind:DewPointTemperature,brick:Setpoint,,Sets dew point
brick:Differential_Air_Temperature_Setpoint,,,brick:Air,brick:Differential,quantitykind:Temperature,brick:Setpoint,,Sets temperature of diffrential air
brick:Differential_Entering_Leaving_Water_Temperature_Sensor,,,,,,,(deprecated),Measures the difference in temperature between entering and leaving water of water a circuit
brick:Differential_Pressure_Deadband_Setpoint,,,,brick:Differential,quantitykind:Pressure,brick:Deadband_Setpoint,,Sets the size of a deadband of differential pressure
brick:Differential_Pressure_Integral_Time_Parameter,,,,brick:Differential,quantitykind:Pressure,brick:Integral_Time_Parameter,,
brick:Differential_Pressure_Load_Shed_Status,,brick:Load_Shed,,brick:Differential,quantitykind:Pressure,brick:Status,,
brick:Differential_Pressure_Proportional_Band,,,,brick:Differential,quantitykind:Pressure,brick:Proportional_Band_Parameter,,
brick:Differential_Pressure_Sensor,,,,brick:Differential,quantitykind:Pressure,brick:Sensor,,Measures the difference between two applied pressures
brick:Differential_Pressure_Setpoint,,,,brick:Differential,quantitykind:Pressure,brick:Setpoint,,Sets differential pressure
brick:Differential_Pressure_Setpoint_Limit,,,,brick:Differential,quantitykind:Pressure,brick:Setpoint_Limit,,A parameter that places a lower or upper bound on the range of permitted values of a Differential_Pressure_Setpoint.
brick:Differential_Pressure_Step_Parameter,,,,brick:Differential,quantitykind:Pressure,brick:Step_Parameter,,
brick:Differential_Setpoint,,,,brick:Differential,,brick:Setpoint,,A type of Setpoints that is related to the difference between two measurements
brick:Differential_Speed_Sensor,,,,brick:Differential,quantitykind:Speed,brick:Sensor,,
brick:Differential_Speed_Setpoint,,,,brick:Differential,quantitykind:Speed,brick:Setpoint,,Sets differential speed
brick:Differential_Temperature_Setpoint,,,,brick:Differential,quantitykind:Temperature,brick:Setpoint,,A type of Setpoints that is related to the difference between two temperature measurements
brick:Direction_Command,,,,,,,(deprecated),Commands that affect the direction of some phenomenon
brick:Direction_Sensor,,,,,,,(deprecated),Measures the direction in degrees in which a phenomenon is occuring
brick:Direction_Status,,,,,,,(deprecated),Indicates which direction a device is operating in
brick:Disable_Command,,,,,,brick:Disable_Command,,Commands that disable functionality
brick:Disable_Differential_Enthalpy_Command,,,,brick:Differential,quantitykind:Enthalpy,brick:Disable_Command,,Disables the use of differential enthalpy control
brick:Disable_Differential_Temperature_Command,,,,brick:Differential,quantitykind:Temperature,brick:Disable_Command,,Disables the use of differential temperature control
brick:Disable_Fixed_Enthalpy_Command,,,,,quantitykind:Enthalpy,brick:Disable_Command,Fixed,Disables the use of fixed enthalpy control
brick:Disable_Fixed_Temperature_Command,,,,,quantitykind:Temperature,brick:Disable_Command,Fixed,Disables the use of fixed temperature temperature
brick:Disable_Hot_Water_System_Outside_Air_Temperature_Setpoint,,brick:Hot_Water_System,brick:Outside_Air,,quantitykind:Temperature,brick:Disable_Setpoint,,Disables hot water system when outside air temperature reaches the indicated value
brick:Disable_Status,,,,,,brick:Disable_Status,,Indicates if functionality has been disabled
brick:Discharge_Air_Dewpoint_Sensor,,,brick:Discharge_Air,,quantitykind:DewPointTemperature,brick:Sensor,,Measures dewpoint of discharge air
brick:Discharge_Air_Differential_Pressure_Sensor,,,brick:Discharge_Air,brick:Differential,quantitykind:Pressure,brick:Sensor,,
brick:Discharge_Air_Differential_Pressure_Setpoint,,,brick:Discharge_Air,brick:Differential,quantitykind:Pressure,brick:Setpoint,,
brick:Discharge_Air_Duct_Pressure_Status,,,,,,,(deprecated),Indicates if air pressure in discharge duct is within expected bounds
brick:Discharge_Air_Flow_Demand_Setpoint,,,brick:Discharge_Air,,quantitykind:VolumeFlowRate,brick:Demand_Setpoint,,Sets the rate of discharge air flow required for a process
brick:Discharge_Air_Flow_High_Reset_Setpoint,,,brick:Discharge_Air,,quantitykind:VolumeFlowRate,brick:High_Reset_Setpoint,,
brick:Discharge_Air_Flow_Low_Reset_Setpoint,,,brick:Discharge_Air,,quantitykind:VolumeFlowRate,brick:Low_Reset_Setpoint,,
brick:Discharge_Air_Flow_Reset_Setpoint,,,brick:Discharge_Air,,quantitykind:VolumeFlowRate,brick:Reset_Setpoint,,Setpoints used in Reset strategies
brick:Discharge_Air_Flow_Sensor,,,brick:Discharge_Air,,quantitykind:VolumeFlowRate,brick:Sensor,,Measures the rate of flow of discharge air
brick:Discharge_Air_Flow_Setpoint,,,brick:Discharge_Air,,quantitykind:VolumeFlowRate,brick:Setpoint,,Sets discharge air flow
brick:Discharge_Air_Humidity_Sensor,,,brick:Discharge_Air,,quantitykind:RelativeHumidity,brick:Sensor,,Measures the relative humidity of discharge air
brick:Discharge_Air_Humidity_Setpoint,,,brick:Discharge_Air,,quantitykind:RelativeHumidity,brick:Setpoint,,Humidity setpoint for discharge air
brick:Discharge_Air_Integral_Gain_Parameter,,,brick:Discharge_Air,,,brick:Integral_Gain_Parameter,,
brick:Discharge_Air_Proportional_Gain_Parameter,,,brick:Discharge_Air,,,brick:Proportional_Gain_Parameter,,
brick:Discharge_Air_Smoke_Detection_Alarm,,brick:Smoke_Detection,brick:Discharge_Air,,,brick:Alarm,,
brick:Discharge_Air_Static_Pressure_Deadband_Setpoint,,,brick:Discharge_Air,,quantitykind:StaticPressure,brick:Deadband_Setpoint,,Sets the size of a deadband of static pressure of discharge air
brick:Discharge_Air_Static_Pressure_Integral_Time_Parameter,,,brick:Discharge_Air,,quantitykind:StaticPressure,brick:Integral_Time_Parameter,,
brick:Discharge_Air_Static_Pressure_Proportional_Band_Parameter,,,brick:Discharge_Air,,quantitykind:StaticPressure,brick:Proportional_Band_Parameter,,
brick:Discharge_Air_Static_Pressure_Sensor,,,brick:Discharge_Air,,quantitykind:StaticPressure,brick:Sensor,,The static pressure of air within discharge regions of an HVAC system
brick:Discharge_Air_Static_Pressure_Setpoint,,,brick:Discharge_Air,,quantitykind:StaticPressure,brick:Setpoint,,Sets static pressure of discharge air
brick:Discharge_Air_Static_Pressure_Step_Parameter,,,brick:Discharge_Air,,quantitykind:StaticPressure,brick:Step_Parameter,,
brick:Discharge_Air_Temperature_Alarm,,,brick:Discharge_Air,,quantitykind:Temperature,brick:Alarm,,An alarm that indicates the off-normal conditions associated with the temperature of discharge air.
brick:Discharge_Air_Temperature_Cooling_Setpoint,,brick:Cooling,brick:Discharge_Air,,quantitykind:Temperature,brick:Setpoint,,Sets temperature of discharge air for cooling
brick:Discharge_Air_Temperature_Deadband_Setpoint,,,brick:Discharge_Air,,quantitykind:Temperature,brick:Deadband_Setpoint,,Sets the size of a deadband of temperature of discharge air
brick:Discharge_Air_Temperature_Heating_Setpoint,,brick:Heating,brick:Discharge_Air,,quantitykind:Temperature,brick:Setpoint,,Sets temperature of discharge air for heating
brick:Discharge_Air_Temperature_High_Reset_Setpoint,,,brick:Discharge_Air,,quantitykind:Temperature,brick:High_Reset_Setpoint,,
brick:Discharge_Air_Temperature_Low_Reset_Setpoint,,,brick:Discharge_Air,,quantitykind:Temperature,brick:Low_Reset_Setpoint,,
brick:Discharge_Air_Temperature_Proportional_Band_Parameter,,,brick:Discharge_Air,,quantitykind:Temperature,brick:Proportional_Band_Parameter,,
brick:Discharge_Air_Temperature_Reset_Differential_Setpoint,,,brick:Discharge_Air,brick:Differential,quantitykind:Temperature,brick:Reset_Setpoint,,
brick:Discharge_Air_Temperature_Sensor,,,brick:Discharge_Air,,quantitykind:Temperature,brick:Sensor,,Measures the temperature of discharge air
brick:Discharge_Air_Temperature_Setpoint,,,brick:Discharge_Air,,quantitykind:Temperature,brick:Setpoint,,Sets temperature of discharge air
brick:Discharge_Air_Temperature_Setpoint_Limit,,,brick:Discharge_Air,,quantitykind:Temperature,brick:Setpoint_Limit,,A parameter that places a lower or upper bound on the range of permitted values of a Discharge_Air_Temperature_Setpoint.
brick:Discharge_Air_Temperature_Step_Parameter,,,brick:Discharge_Air,,quantitykind:Temperature,brick:Step_Parameter,,
brick:Discharge_Air_Velocity_Pressure_Sensor,,,brick:Discharge_Air,,quantitykind:DynamicPressure,brick:Sensor,,
brick:Domestic_Hot_Water_Differential_Pressure_Sensor,,,brick:Domestic_Hot_Water,brick:Differential,quantitykind:Pressure,brick:Sensor,,Measures the pressure difference in domestic hot water systems.
brick:Domestic_Hot_Water_Differential_Pressure_Setpoint,,,brick:Domestic_Hot_Water,brick:Differential,quantitykind:Pressure,brick:Setpoint,,Sets the target water differential pressure between an upstream and downstream point in a water pipe used to carry domestic hot water
brick:Domestic_Hot_Water_System_Enable_Command,,brick:Domestic_Hot_Water_System,,,,brick:Enable_Command,,Enables operation of the domestic hot water system
brick:Domestic_Hot_Water_Temperature_Sensor,,,brick:Domestic_Hot_Water,,quantitykind:Temperature,brick:Sensor,,
brick:Domestic_Hot_Water_Temperature_Setpoint,,,brick:Domestic_Hot_Water,,quantitykind:Temperature,brick:Setpoint,,Sets temperature of domestic hot water
brick:Drive_Ready_Status,,,,,,,(deprecated),"Indicates if a hard drive or other storage device is ready to be used, e.g. in the context of RAID"
brick:Duct_Air_Static_Pressure_Setpoint,,,,,,,(deprecated),
brick:Duration_Sensor,,,,,quantitykind:Time,brick:Sensor,,Measures the duration of a phenomenon or event
