Term,Definition,See Also
https://brickschema.org/schema/Brick#Air_Temperature_Integral_Time_Parameter,,
https://brickschema.org/schema/Brick#Air_Temperature_Sensor,Measures the temperature of air,
https://brickschema.org/schema/Brick#Air_Temperature_Setpoint,Sets temperature of air,
https://brickschema.org/schema/Brick#Air_Temperature_Step_Parameter,,
https://brickschema.org/schema/Brick#Air_To_Air_Heat_Pump,A heat pump that extracts thermal energy from a volume of air and transfers it to another volume of air.,
https://brickschema.org/schema/Brick#Air_To_Water_Heat_Pump,A heat pump that extracts thermal energy from a volume of air and transfers it to a water volume or circuit.,
https://brickschema.org/schema/Brick#Alarm,Alarm points are signals (either audible or visual) that alert an operator to an off-normal condition which requires some form of corrective action,https://xp20.ashrae.org/terminology/index.php?term=alarm
https://brickschema.org/schema/Brick#Alarm_Delay_Parameter,A parameter determining how long to delay an alarm after sufficient conditions have been met,
https://brickschema.org/schema/Brick#Alternating_Current_Frequency,The frequency of the oscillations of alternating current,
https://brickschema.org/schema/Brick#Angle,"The inclination to each other of two intersecting lines, measured by the arc of a circle intercepted between the two lines forming the angle, the center of the circle being the point of intersection.  An acute angle is less than (90^\circ), a right angle (90^\circ); an obtuse angle, more than (90^\circ) but less than (180^\circ); a straight angle, (180^\circ); a reflex angle, more than (180^\circ) but less than (360^\circ); a perigon, (360^\circ). Any angle not a multiple of (90^\circ) is an oblique angle. If the sum of two angles is (90^\circ), they are complementary angles; if (180^\circ), supplementary angles; if (360^\circ), explementary angles.",
https://brickschema.org/schema/Brick#Angle_Sensor,Measues the planar angle of some phenomenon,
https://brickschema.org/schema/Brick#Apparent_Power,"Apparent Power is the product of the rms voltage (U) between the terminals of a two-terminal element or two-terminal circuit and the rms electric current I in the element or circuit. Under sinusoidal conditions, the apparent power is the modulus of the complex power.",
https://brickschema.org/schema/Brick#Atmospheric_Pressure,"The pressure exerted by the weight of the air above it at any point on the earth's surface. At sea level the atmosphere will support a column of mercury about (760 mm) high. This decreases with increasing altitude. The standard value for the atmospheric pressure at sea level in SI units is (101,325 pascals).",
https://brickschema.org/schema/Brick#Auditorium,A space for performances or larger gatherings,
https://brickschema.org/schema/Brick#Automatic_Mode_Command,"Controls whether or not a device or controller is operating in ""Automatic"" mode",
https://brickschema.org/schema/Brick#Average_Cooling_Demand_Sensor,Measures the average power consumed by a cooling process as the amount of power consumed over some interval,
https://brickschema.org/schema/Brick#Average_Discharge_Air_Flow_Sensor,The computed average flow of discharge air over some interval,
https://brickschema.org/schema/Brick#Average_Exhaust_Air_Static_Pressure_Sensor,The computed average static pressure of air in exhaust regions of an HVAC system over some period of time,
https://brickschema.org/schema/Brick#Average_Heating_Demand_Sensor,Measures the average power consumed by a heating process as the amount of power consumed over some interval,
https://brickschema.org/schema/Brick#Average_Supply_Air_Flow_Sensor,The computed average flow of supply air over some interval,
https://brickschema.org/schema/Brick#Average_Zone_Air_Temperature_Sensor,"The computed average temperature of air in a zone, over some period of time",
https://brickschema.org/schema/Brick#Baseboard_Radiator,"Steam, hydronic, or electric heating device located at or near the floor.",
https://brickschema.org/schema/Brick#Basement,The floor of a building which is partly or entirely below ground level.,
https://brickschema.org/schema/Brick#Battery,A container that stores chemical energy that can be converted into electricity and used as a source of power,
https://brickschema.org/schema/Brick#Battery_Room,A room used to hold batteries for backup power,
https://brickschema.org/schema/Brick#Battery_Voltage_Sensor,Measures the capacity of a battery,
https://brickschema.org/schema/Brick#Bench_Space,"For areas of play in a stadium, the area for partcipants and referees by the side of the field",
https://brickschema.org/schema/Brick#Blowdown_Water,Water expelled from a system to remove mineral build up,
https://brickschema.org/schema/Brick#Boiler,"A closed, pressure vessel that uses fuel or electricity for heating water or other fluids to supply steam or hot water for heating, humidification, or other applications.",
https://brickschema.org/schema/Brick#Booster_Fan,Fan activated to increase airflow beyond what is provided by the default configuration,
https://brickschema.org/schema/Brick#Box_Mode_Command,,
https://brickschema.org/schema/Brick#Break_Room,A space for people to relax while not working,
https://brickschema.org/schema/Brick#Breaker_Panel,Breaker Panel distributes power into various end-uses.,
https://brickschema.org/schema/Brick#Breakroom,A space for people to relax while not working,
https://brickschema.org/schema/Brick#Broadcast_Room,A space to organize and manage a broadcast. Separate from studio,
https://brickschema.org/schema/Brick#Building,"An independent unit of the built environment with a characteristic spatial structure, intended to serve at least one function or user activity [ISO 12006-2:2013]",
https://brickschema.org/schema/Brick#Building,"a structure wholly or partially enclosed within exterior walls, or within exterior and party walls, and a roof, affording shelter to persons, animals, or property.",
https://brickschema.org/schema/Brick#Building_Air,air contained within a building,
https://brickschema.org/schema/Brick#Building_Air_Humidity_Setpoint,Setpoint for humidity in a building,
https://brickschema.org/schema/Brick#Building_Air_Static_Pressure_Sensor,The static pressure of air within a building,
https://brickschema.org/schema/Brick#Building_Air_Static_Pressure_Setpoint,Sets static pressure of the entire building,
https://brickschema.org/schema/Brick#Building_Chilled_Water_Meter,A meter that measures the usage or consumption of chilled water of a whole building,
https://brickschema.org/schema/Brick#Building_Electrical_Meter,A meter that measures the usage or consumption of electricity of a whole building,
https://brickschema.org/schema/Brick#Building_Gas_Meter,A meter that measures the usage or consumption of gas of a whole building,
https://brickschema.org/schema/Brick#Building_Hot_Water_Meter,A meter that measures the usage or consumption of hot water of a whole building,
https://brickschema.org/schema/Brick#Building_Meter,A meter that measures usage or consumption of some media for a whole building,
https://brickschema.org/schema/Brick#Building_Water_Meter,A meter that measures the usage or consumption of water of a whole building,
https://brickschema.org/schema/Brick#Bus_Riser,Bus Risers are commonly fed from a switchgear and rise up through a series of floors to the main power distribution source for each floor.,
https://brickschema.org/schema/Brick#Bypass_Air,"air in a bypass duct, used to relieve static pressure",
https://brickschema.org/schema/Brick#Bypass_Air_Flow_Sensor,Measures the rate of flow of bypass air,
https://brickschema.org/schema/Brick#Bypass_Air_Humidity_Setpoint,Humidity setpoint for bypass air,
https://brickschema.org/schema/Brick#Bypass_Command,,
https://brickschema.org/schema/Brick#Bypass_Valve,A type of valve installed in a bypass pipeline,https://www.petropedia.com/definition/5050/bypass-valve
https://brickschema.org/schema/Brick#Bypass_Water_Flow_Sensor,Measures the rate of flow of bypass water,
https://brickschema.org/schema/Brick#Bypass_Water_Flow_Setpoint,Sets flow rate of bypass water.,
https://brickschema.org/schema/Brick#Cafeteria,A space to serve food and beverages,
https://brickschema.org/schema/Brick#Capacity,,
https://brickschema.org/schema/Brick#Capacity_Sensor,,
https://brickschema.org/schema/Brick#Ceiling_Fan,A fan installed on the ceiling of a room for the purpose of air circulation,
https://brickschema.org/schema/Brick#Centrifugal_Chiller,A chiller that uses the vapor compression cycle to chill water. It throws off the heat collected from the chilled water plus the heat from the compressor to a water loop,https://bellomyims.com/your-definitive-guide-to-centrifugal-chillers/
https://brickschema.org/schema/Brick#Change_Filter_Alarm,An alarm that indicates that a filter must be changed,
https://brickschema.org/schema/Brick#Chilled_Water,water used as a cooling medium (particularly in air-conditioning systems or in processes) at below ambient temperature.,
https://brickschema.org/schema/Brick#Chilled_Water_Coil,"A cooling element made of pipe or tube that removes heat from equipment, machines or airflows that is filled with chilled water.",
https://brickschema.org/schema/Brick#Chilled_Water_Differential_Pressure_Deadband_Setpoint,Sets the size of a deadband of differential pressure of chilled water,
https://brickschema.org/schema/Brick#Chilled_Water_Differential_Pressure_Integral_Time_Parameter,,
https://brickschema.org/schema/Brick#Chilled_Water_Differential_Pressure_Load_Shed_Reset_Status,,
https://brickschema.org/schema/Brick#Chilled_Water_Differential_Pressure_Load_Shed_Setpoint,,
https://brickschema.org/schema/Brick#Chilled_Water_Differential_Pressure_Load_Shed_Status,,
https://brickschema.org/schema/Brick#Chilled_Water_Differential_Pressure_Proportional_Band_Parameter,,
https://brickschema.org/schema/Brick#Chilled_Water_Differential_Pressure_Sensor,Measures the difference in water pressure on either side of a chilled water valve,
https://brickschema.org/schema/Brick#Chilled_Water_Differential_Pressure_Setpoint,Sets differential pressure of chilled water,
https://brickschema.org/schema/Brick#Chilled_Water_Differential_Pressure_Step_Parameter,,
https://brickschema.org/schema/Brick#Chilled_Water_Differential_Temperature_Sensor,Measures the difference in temperature between return water (to the cooling tower) and supply water (from the chiller),
https://brickschema.org/schema/Brick#Chilled_Water_Discharge_Flow_Sensor,Measures the rate of flow of chilled discharge water,
https://brickschema.org/schema/Brick#Chilled_Water_Discharge_Flow_Setpoint,See Chilled_Water_Supply_Flow_Setpoint.,
https://brickschema.org/schema/Brick#Chilled_Water_Flow_Sensor,Measures the rate of flow of chilled water.,
https://brickschema.org/schema/Brick#Chilled_Water_Flow_Setpoint,Sets flow rate of chilled water.,
https://brickschema.org/schema/Brick#Chilled_Water_Meter,A meter that measures the usage or consumption of chilled water,
https://brickschema.org/schema/Brick#Chilled_Water_Pump,A pump that performs work on chilled water; typically part of a chilled water system,
https://brickschema.org/schema/Brick#Chilled_Water_Pump_Differential_Pressure_Deadband_Setpoint,Sets the size of a deadband of differential pressure of chilled water in a chilled water pump,
https://brickschema.org/schema/Brick#Chilled_Water_Return_Temperature_Sensor,Measures the temperature of chilled water that is returned to a cooling tower,
https://brickschema.org/schema/Brick#Chilled_Water_Static_Pressure_Setpoint,Sets static pressure of chilled water,
https://brickschema.org/schema/Brick#Chilled_Water_Supply_Flow_Sensor,Measures the rate of flow of chilled supply water,
https://brickschema.org/schema/Brick#Chilled_Water_Supply_Flow_Setpoint,Sets the supply side flow rate of chilled water.,
https://brickschema.org/schema/Brick#Chilled_Water_Supply_Temperature_Sensor,Measures the temperature of chilled water that is supplied from a chiller,
https://brickschema.org/schema/Brick#Chilled_Water_System,"The equipment, devices and conduits that handle the production and distribution of chilled water in a building",
https://brickschema.org/schema/Brick#Chilled_Water_System_Enable_Command,Enables operation of the chilled water system,
https://brickschema.org/schema/Brick#Chilled_Water_Temperature_Sensor,Measures the temperature of chilled water,
https://brickschema.org/schema/Brick#Chilled_Water_Valve,A valve that modulates the flow of chilled water,
https://brickschema.org/schema/Brick#Chiller,Refrigerating machine used to transfer heat between fluids. Chillers are either direct expansion with a compressor or absorption type.,
https://brickschema.org/schema/Brick#Cloudage,The fraction of the sky obscured by clouds when observed from a particular location,
https://brickschema.org/schema/Brick#CO,Carbon Monoxide in the vapor phase,
https://brickschema.org/schema/Brick#CO_Level_Sensor,Measures the concentration of CO,
https://brickschema.org/schema/Brick#CO_Sensor,Measures properties of CO,
https://brickschema.org/schema/Brick#CO2,Carbon Dioxide in the vapor phase,
https://brickschema.org/schema/Brick#CO2_Alarm,An alarm that indicates the off-normal conditions associated with the presence of carbon dioxide.,
https://brickschema.org/schema/Brick#CO2_Differential_Sensor,Measures the difference between CO2 levels of inside and outside air,
https://brickschema.org/schema/Brick#CO2_High_Setpoint_Limit,The highest permissible value for the CO2 setpoint.,
https://brickschema.org/schema/Brick#CO2_Level_Sensor,Measures the concentration of CO2,
https://brickschema.org/schema/Brick#CO2_Low_Setpoint_Limit,The lowest permissible value for the CO2 setpoint.,
https://brickschema.org/schema/Brick#CO2_Sensor,Measures properties of CO2,
https://brickschema.org/schema/Brick#CO2_Setpoint,Sets some property of CO2,
https://brickschema.org/schema/Brick#CO2_Setpoint_Limit,The minimum or maximum permissible value for the CO2 setpoint.,
https://brickschema.org/schema/Brick#Coil,Cooling or heating element made of pipe or tube that may or may not be finned and formed into helical or serpentine shape,ASHRAE
https://brickschema.org/schema/Brick#Cold_Box,"in a gas separation unit, the insulated section that contains the low-temperature heat exchangers and distillation columns.",
https://brickschema.org/schema/Brick#Coldest_Zone_Air_Temperature_Sensor,The zone temperature that is coldest; drives the supply temperature of hot air. A computed value rather than a physical sensor. Also referred to as a 'Lowest Zone Air Temperature Sensor',
https://brickschema.org/schema/Brick#Collection_Basin_Water,"Water transiently collected and directed to the sump or pump suction line, typically integral with a cooling tower",https://www.towercomponentsinc.com/cooling-tower-basics-misc-terms-glossary
https://brickschema.org/schema/Brick#Collection_Basin_Water_Heater,"Basin heaters prevent cold water basin freeze-up, e.g. in cooling towers, closed circuit fluid coolers, or evaporative condensers",https://www.coolingtowerworld.com/c-30-basin-heater.aspx
https://brickschema.org/schema/Brick#Collection_Basin_Water_Level_Alarm,"An alarm that indicates a high or low level of water in the collection basin, e.g. within a Cooling_Tower",
https://brickschema.org/schema/Brick#Collection_Basin_Water_Level_Sensor,"Measures the level of the water in the collection basin, e.g. within a Cooling_Tower",
https://brickschema.org/schema/Brick#Collection_Basin_Water_Temperature_Sensor,"Measures the temperature of the water in the collection basin, e.g. within a Cooling_Tower",
https://brickschema.org/schema/Brick#Command,A Command is an output point that directly determines the behavior of equipment and/or affects relevant operational points.,
https://brickschema.org/schema/Brick#Common_Space,A class of spaces that are used by multiple people at the same time,
https://brickschema.org/schema/Brick#Communication_Loss_Alarm,An alarm that indicates a loss of communication e.g. with a device or controller,
https://brickschema.org/schema/Brick#Complex_Power,"Complex Power, under sinusoidal conditions, is the product of the phasor (U) representing the voltage between the terminals of a linear two-terminal element or two-terminal circuit and the complex conjugate of the phasor (I) representing the electric current in the element or circuit.",
https://brickschema.org/schema/Brick#Compressor,"(1) device for mechanically increasing the pressure of a gas. (2) often described as being either open, hermetic, or semihermetic to describe how the compressor and motor drive is situated in relation to the gas or vapor being compressed. Types include centrifugal, axial flow, reciprocating, rotary screw, rotary vane, scroll, or diaphragm. 1. device for mechanically increasing the pressure of a gas. 2. specific machine, with or without accessories, for compressing refrigerant vapor.",
https://brickschema.org/schema/Brick#Computer_Room_Air_Conditioning,"A device that monitors and maintains the temperature, air distribution and humidity in a network room or data center.",
https://brickschema.org/schema/Brick#Concession,A space to sell food and beverages. Usually embedded in a larger space and does not include a space where people consume their purchases,
https://brickschema.org/schema/Brick#Condensate_Leak_Alarm,An alarm that indicates a leak of condensate from a cooling system,
https://brickschema.org/schema/Brick#Condenser,A heat exchanger in which the primary heat transfer vapor changes its state to a liquid phase.,
https://brickschema.org/schema/Brick#Condenser_Heat_Exchanger,A heat exchanger in which the primary heat transfer vapor changes its state to a liquid phase.,
https://brickschema.org/schema/Brick#Condenser_Water,Water used used to remove heat through condensation,
https://brickschema.org/schema/Brick#Condenser_Water_Bypass_Valve,A valve installed in a bypass line of a condenser water loop,
https://brickschema.org/schema/Brick#Condenser_Water_Isolation_Valve,An isolation valve installed in the condenser water loop,
https://brickschema.org/schema/Brick#Condenser_Water_Pump,A pump that is part of a condenser system; the pump circulates condenser water from the chiller back to the cooling tower,
https://brickschema.org/schema/Brick#Condenser_Water_System,"A heat rejection system consisting of (typically) cooling towers, condenser water pumps, chillers and the piping connecting the components",https://www.linquip.com/blog/condenser-water-system-an-overview/
https://brickschema.org/schema/Brick#Condenser_Water_Temperature_Sensor,Measures the temperature of condenser water,
https://brickschema.org/schema/Brick#Condenser_Water_Valve,A valve that modulates the flow of condenser water,
https://brickschema.org/schema/Brick#Conductivity,,
https://brickschema.org/schema/Brick#Conductivity_Sensor,Measures electrical conductance,
https://brickschema.org/schema/Brick#Conference_Room,A space dedicated in which to hold a meetings,
https://brickschema.org/schema/Brick#Constant_Air_Volume_Box,A terminal unit for which supply air flow rate is constant and the supply air temperature is varied to meet thermal load,https://en.wikipedia.org/wiki/Constant_air_volume
https://brickschema.org/schema/Brick#Contact_Sensor,"Senses or detects contact, such as for determining if a door is closed.",
https://brickschema.org/schema/Brick#Control_Room,A space from which operations are managed,
https://brickschema.org/schema/Brick#controls,,
https://brickschema.org/schema/Brick#Cooling_Coil,"A cooling element made of pipe or tube that removes heat from equipment, machines or airflows. Typically filled with either refrigerant or cold water.",
https://brickschema.org/schema/Brick#Cooling_Command,Controls the amount of cooling to be delivered (typically as a proportion of total cooling output),
https://brickschema.org/schema/Brick#Cooling_Demand_Sensor,Measures the amount of power consumed by a cooling process; typically found by multiplying the tonnage of a unit (e.g. RTU) by the efficiency rating in kW/ton,
https://brickschema.org/schema/Brick#Cooling_Demand_Setpoint,Sets the rate required for cooling,
https://brickschema.org/schema/Brick#Cooling_Discharge_Air_Flow_Setpoint,Sets discharge air flow for cooling,
https://brickschema.org/schema/Brick#Cooling_Discharge_Air_Temperature_Deadband_Setpoint,Sets the size of a deadband of temperature of cooling discharge air,
https://brickschema.org/schema/Brick#Cooling_Discharge_Air_Temperature_Integral_Time_Parameter,,
https://brickschema.org/schema/Brick#Cooling_Discharge_Air_Temperature_Proportional_Band_Parameter,,
https://brickschema.org/schema/Brick#Cooling_Supply_Air_Flow_Setpoint,Sets supply air flow rate for cooling,
https://brickschema.org/schema/Brick#Cooling_Supply_Air_Temperature_Deadband_Setpoint,Sets the size of a deadband of temperature of supply air for cooling,
https://brickschema.org/schema/Brick#Cooling_Supply_Air_Temperature_Integral_Time_Parameter,,
https://brickschema.org/schema/Brick#Cooling_Supply_Air_Temperature_Proportional_Band_Parameter,,
https://brickschema.org/schema/Brick#Cooling_Temperature_Setpoint,Sets temperature for cooling,
https://brickschema.org/schema/Brick#Cooling_Tower,"A cooling tower is a heat rejection device that rejects waste heat to the atmosphere through the cooling of a water stream to a lower temperature. Cooling towers may either use the evaporation of water to remove process heat and cool the working fluid to near the wet-bulb air temperature or, in the case of closed circuit dry cooling towers, rely solely on air to cool the working fluid to near the dry-bulb air temperature.",https://en.wikipedia.org/wiki/Cooling_tower
https://brickschema.org/schema/Brick#Cooling_Tower_Fan,A fan that pulls air through a cooling tower and across the louvers where the water falls to aid in heat exchange by the process of evaporation,https://highperformancehvac.com/cooling-tower-fan/
https://brickschema.org/schema/Brick#Cooling_Valve,A valve that controls air temperature by modulating the amount of cold water flowing through a cooling coil,
https://brickschema.org/schema/Brick#Copy_Room,"A room set aside for common office equipment, including printers and copiers",
https://brickschema.org/schema/Brick#Core_Temperature_Sensor,Measures the internal temperature of the radiant layer at the heat source or sink level of the radiant heating and cooling HVAC system.,
https://brickschema.org/schema/Brick#Core_Temperature_Setpoint,"Sets temperature for the core, i.e. the temperature at the heat source or sink level, of the radiant panel.",
https://brickschema.org/schema/Brick#CRAC,,
https://brickschema.org/schema/Brick#Cubicle,"A smaller space set aside for an individual, but not with a door and without full-height walls",
https://brickschema.org/schema/Brick#Current,,
https://brickschema.org/schema/Brick#Current_Angle,Angle of current phasor,
https://brickschema.org/schema/Brick#Current_Imbalance,The percent deviation from average current,
https://brickschema.org/schema/Brick#Current_Output_Sensor,Senses the amperes of electrical current produced as output by a device,
https://brickschema.org/schema/Brick#Current_Sensor,Senses the amperes of electrical current passing through the sensor,
https://brickschema.org/schema/Brick#Current_Total_Harmonic_Distortion,Measurement of harmonic distortion present in a signal defined as the sum of the powers of all harmonic components to the power of the fundamental frequency. (https://en.wikipedia.org/wiki/Total_harmonic_distortion),
https://brickschema.org/schema/Brick#Cycle_Alarm,An alarm that indicates off-normal conditions associated with HVAC cycles,
https://brickschema.org/schema/Brick#Damper,Element inserted into an air-distribution system or element of an air-distribution system permitting modification of the air resistance of the system and consequently changing the airflow rate or shutting off the airflow.,
https://brickschema.org/schema/Brick#Damper_Command,Controls properties of dampers,
https://brickschema.org/schema/Brick#Damper_Open_Close_Status,Inidcates the open/close status of a damper.,
https://brickschema.org/schema/Brick#Damper_Position_Command,Controls the position (the degree of openness) of a damper,
https://brickschema.org/schema/Brick#Damper_Position_Sensor,Measures the current position of a damper in terms of the percent of fully open,
https://brickschema.org/schema/Brick#Damper_Position_Setpoint,Sets the position of damper,
https://brickschema.org/schema/Brick#Daytime,,
https://brickschema.org/schema/Brick#DC_Bus_Voltage_Sensor,Measures the voltage across a DC bus,
https://brickschema.org/schema/Brick#Deadband_Setpoint,Sets the size of a deadband,
https://brickschema.org/schema/Brick#Deceleration_Time,,
https://brickschema.org/schema/Brick#Deceleration_Time_Setpoint,,
https://brickschema.org/schema/Brick#Dedicated_Outdoor_Air_System,"A device that conditions and delivers 100% outdoor air to its assigned spaces. It decouples air-conditioning of the outdoor air, usually used to provide minimum outdoor air ventilation, from conditioning of the internal loads.",
https://brickschema.org/schema/Brick#Deionised_Water_Conductivity_Sensor,Measures the electrical conductance of deionised water,
https://brickschema.org/schema/Brick#Deionised_Water_Level_Sensor,Measures the height/level of deionised water in some container,
https://brickschema.org/schema/Brick#Deionized_Water,Water which has been purified by removing its ions (constituting the majority of non-particulate contaminants),
https://brickschema.org/schema/Brick#Deionized_Water_Alarm,An alarm that indicates deionized water leaks.,
https://brickschema.org/schema/Brick#Delay_Parameter,A parameter determining how long to delay a subsequent action to take place after a received signal,
https://brickschema.org/schema/Brick#Demand_Sensor,Measures the amount of power consumed by the use of some process; typically found by multiplying the tonnage of a unit (e.g. RTU) by the efficiency rating in kW/ton,
https://brickschema.org/schema/Brick#Demand_Setpoint,Sets the rate required for a process,
https://brickschema.org/schema/Brick#Derivative_Gain_Parameter,,
https://brickschema.org/schema/Brick#Derivative_Time_Parameter,,
https://brickschema.org/schema/Brick#Detention_Room,A space for the temporary involuntary confinement of people,
https://brickschema.org/schema/Brick#Dew_Point_Setpoint,Sets dew point,
https://brickschema.org/schema/Brick#Dewpoint,,
https://brickschema.org/schema/Brick#Dewpoint_Sensor,Senses the dewpoint temperature . Dew point is the temperature to which air must be cooled to become saturated with water vapor,https://en.wikipedia.org/wiki/Dew_point
https://brickschema.org/schema/Brick#Differential_Air_Temperature_Setpoint,Sets temperature of diffrential air,
https://brickschema.org/schema/Brick#Differential_Pressure_Bypass_Valve,"A 2-way, self contained proportional valve with an integral differential pressure adjustment setting.",
https://brickschema.org/schema/Brick#Differential_Pressure_Deadband_Setpoint,Sets the size of a deadband of differential pressure,
https://brickschema.org/schema/Brick#Differential_Pressure_Integral_Time_Parameter,,
https://brickschema.org/schema/Brick#Differential_Pressure_Load_Shed_Status,,
https://brickschema.org/schema/Brick#Differential_Pressure_Proportional_Band,,
https://brickschema.org/schema/Brick#Differential_Pressure_Sensor,Measures the difference between two applied pressures,
https://brickschema.org/schema/Brick#Differential_Pressure_Setpoint,Sets differential pressure,
https://brickschema.org/schema/Brick#Differential_Pressure_Step_Parameter,,
https://brickschema.org/schema/Brick#Differential_Speed_Sensor,,
https://brickschema.org/schema/Brick#Differential_Speed_Setpoint,Sets differential speed,
https://brickschema.org/schema/Brick#Differential_Supply_Return_Water_Temperature_Sensor,Measures the difference in temperature between return and supply water,
https://brickschema.org/schema/Brick#Differential_Supply_Return_Water_Temperature_Setpoint,Sets the temperature difference between the return and supply water.,
https://brickschema.org/schema/Brick#Differential_Water_Temperature_Sensor,Measures the difference in temperature between two water sources.,
https://brickschema.org/schema/Brick#Differential_Water_Temperature_Setpoint,Sets the temperature difference between two water sources.,
https://brickschema.org/schema/Brick#Dimmer,A switch providing continuous control over all or part of a lighting installation; typically potentiometer-based,
https://brickschema.org/schema/Brick#Direction,,
https://brickschema.org/schema/Brick#Direction_Command,Commands that affect the direction of some phenomenon,
https://brickschema.org/schema/Brick#Direction_Sensor,Measures the direction in degrees in which a phenomenon is occuring,
https://brickschema.org/schema/Brick#Direction_Status,Indicates which direction a device is operating in,
https://brickschema.org/schema/Brick#Disable_Command,Commands that disable functionality,
https://brickschema.org/schema/Brick#Disable_Differential_Enthalpy_Command,Disables the use of differential enthalpy control,
https://brickschema.org/schema/Brick#Disable_Differential_Temperature_Command,Disables the use of differential temperature control,
https://brickschema.org/schema/Brick#Disable_Fixed_Enthalpy_Command,Disables the use of fixed enthalpy control,
https://brickschema.org/schema/Brick#Disable_Fixed_Temperature_Command,Disables the use of fixed temperature temperature,
https://brickschema.org/schema/Brick#Disable_Hot_Water_System_Outside_Air_Temperature_Setpoint,Disables hot water system when outside air temperature reaches the indicated value,
https://brickschema.org/schema/Brick#Disable_Status,Indicates if functionality has been disabled,
https://brickschema.org/schema/Brick#Discharge_Air,the air exiting the registers (vents).,
https://brickschema.org/schema/Brick#Discharge_Air_Dewpoint_Sensor,Measures dewpoint of discharge air,
https://brickschema.org/schema/Brick#Discharge_Air_Duct_Pressure_Status,Indicates if air pressure in discharge duct is within expected bounds,
https://brickschema.org/schema/Brick#Discharge_Air_Flow_Demand_Setpoint,Sets the rate of discharge air flow required for a process,
https://brickschema.org/schema/Brick#Discharge_Air_Flow_Reset_High_Setpoint,,
https://brickschema.org/schema/Brick#Discharge_Air_Flow_Reset_Low_Setpoint,,
https://brickschema.org/schema/Brick#Discharge_Air_Flow_Reset_Setpoint,Setpoints used in Reset strategies,
https://brickschema.org/schema/Brick#Discharge_Air_Flow_Sensor,Measures the rate of flow of discharge air,
https://brickschema.org/schema/Brick#Discharge_Air_Flow_Setpoint,Sets discharge air flow,
https://brickschema.org/schema/Brick#Discharge_Air_Humidity_Sensor,Measures the relative humidity of discharge air,
https://brickschema.org/schema/Brick#Discharge_Air_Humidity_Setpoint,Humidity setpoint for discharge air,
https://brickschema.org/schema/Brick#Discharge_Air_Static_Pressure_Deadband_Setpoint,Sets the size of a deadband of static pressure of discharge air,
https://brickschema.org/schema/Brick#Discharge_Air_Static_Pressure_Integral_Time_Parameter,,
https://brickschema.org/schema/Brick#Discharge_Air_Static_Pressure_Proportional_Band_Parameter,,
