Term,Definition,See Also
https://brickschema.org/schema/Brick#Room,Base class for all more specific room types.,
https://brickschema.org/schema/Brick#Security_Service_Room,A class of spaces used by the security staff of a facility,
https://brickschema.org/schema/Brick#Service_Room,"A class of spaces related to the operations of building subsystems, e.g. HVAC, electrical, IT, plumbing, etc",
https://brickschema.org/schema/Brick#Shared_Office,An office used by multiple people,
https://brickschema.org/schema/Brick#Shower,"A space containing showers, usually adjacent to an athletic or execise area",
https://brickschema.org/schema/Brick#Site,A geographic region containing 0 or more buildings. Typically used as the encapsulating location for a collection of Brick entities through the hasPart/isPartOf relationships,
https://brickschema.org/schema/Brick#Space,"A part of the physical world or a virtual world whose 3D spatial extent is bounded actually or theoretically, and provides for certain functions within the zone it is contained in.",
https://brickschema.org/schema/Brick#Sports_Service_Room,A class of spaces used in the support of sports,
https://brickschema.org/schema/Brick#Stage_Riser,A low platform in a space or on a stage,
https://brickschema.org/schema/Brick#Staircase,A vertical space containing stairs,
https://brickschema.org/schema/Brick#Storage_Room,A class of spaces used for storage,
https://brickschema.org/schema/Brick#Studio,"A room used for the production or media, usually with either a specialized set or a specialized sound booth for recording",
https://brickschema.org/schema/Brick#Switch_Room,A telecommuncations room housing network switches,
https://brickschema.org/schema/Brick#TETRA_Room,"A room used for local two-way radio networks, e.g. the portable radios carried by facilities staff",
https://brickschema.org/schema/Brick#Team_Room,An office used by multiple team members for specific work tasks. Distinct from Conference Room,
https://brickschema.org/schema/Brick#Telecom_Room,A class of spaces used to support telecommuncations and IT equipment,
https://brickschema.org/schema/Brick#Ticketing_Booth,A room or space used to sell or distribute tickets to events at a venue,
https://brickschema.org/schema/Brick#Transformer_Room,An electrical room where electricity enters and is transformed to different voltages and currents by the equipment contained in the room,
https://brickschema.org/schema/Brick#Tunnel,An enclosed space that connects buildings. Often underground,
https://brickschema.org/schema/Brick#Vertical_Space,A class of spaces used to connect multiple floors or levels..,
https://brickschema.org/schema/Brick#Visitor_Lobby,A lobby for visitors to the building. Sometimes used to distinguish from an employee entrance looby,
https://brickschema.org/schema/Brick#Wardrobe,"Storage for clothing, costumes, or uniforms",
https://brickschema.org/schema/Brick#Waste_Storage,A room used for storing waste such as trash or recycling,
https://brickschema.org/schema/Brick#Water_Tank,A space used to hold water. This will likely be deprecated in future releases of Brick for the sake of clarity w.r.t. equipment classification of tanks,
https://brickschema.org/schema/Brick#Wing,"A wing is part of a building – or any feature of a building – that is subordinate to the main, central structure.",
https://brickschema.org/schema/Brick#Workshop,A space used to house equipment that can be used to repair or fabricate things,
https://brickschema.org/schema/Brick#Zone,"(1) a separately controlled heated or cooled space. (2) one occupied space or several occupied spaces with similar occupancy category, occupant density, zone air distribution effectiveness, and zone primary airflow per unit area. (3) space or group of spaces within a building for which the heating, cooling, or lighting requirements are sufficiently similar that desired conditions can be maintained throughout by a single controlling device.",
https://brickschema.org/schema/Brick#Zone_Air_Cooling_Temperature_Setpoint,The upper (cooling) setpoint for zone air temperature,
https://brickschema.org/schema/Brick#Zone_Air_Heating_Temperature_Setpoint,The lower (heating) setpoint for zone air temperature,
https://brickschema.org/schema/Brick#Zone_Air_Temperature_Setpoint,Sets temperature of zone air,
